county,poverty_rate,health_insurance,median_household_income,unemployment_rate,public_transit,median_house_value,median_gross_rent,bachelor_holders,public_assistance
"Kennebec County, Maine",12.2,94.1,64083,4.9,0.3,253200,1055,18.52,2.88
"Penobscot County, Maine",13.2,94.1,66333,2.5,0.7,228600,1105,16.13,3.84
"York County, Maine",7.8,95.4,86430,2.9,0.9,422600,1473,24.44,1.55
"Allegany County, Maryland",19.8,95.9,54384,4.7,0.4,146900,841,10.38,1.93
"Anne Arundel County, Maryland",5.7,95.2,117650,3.4,1.4,460600,1998,22.82,0.94
"Baltimore County, Maryland",9.7,94.9,87056,3.9,3.0,345900,1597,21.68,1.62
"Calvert County, Maryland",2.6,97.0,126358,2.9,1.3,473400,1760,19.93,1.86
"Carroll County, Maryland",6.8,97.4,114974,2.5,0.4,433300,1529,23.7,1.29
"Cecil County, Maryland",10.3,98.1,90762,3.4,0.5,327500,1196,15.7,5.34
"Charles County, Maryland",7.8,93.4,105087,5.8,2.4,410000,1815,16.48,1.65
"Frederick County, Maryland",6.4,95.3,114360,1.9,1.3,462500,1719,24.07,1.84
"Harford County, Maryland",7.2,95.8,105029,4.5,0.7,388400,1451,22.28,1.37
"Howard County, Maryland",5.0,95.3,141159,2.7,1.5,603400,2053,30.08,0.5
"Montgomery County, Maryland",7.0,93.0,125371,3.9,9.7,636200,1984,26.37,1.66
"Prince George's County, Maryland",11.0,88.8,98027,5.3,8.9,422300,1722,19.23,1.63
"St. Mary's County, Maryland",8.3,96.6,102282,2.7,0.4,403900,1682,19.52,6.7
"Washington County, Maryland",11.1,92.6,71848,3.6,0.2,283700,1135,13.16,3.4
"Wicomico County, Maryland",17.1,93.6,73834,3.1,0.0,257300,1311,16.81,2.44
"Baltimore city, Maryland",20.2,94.1,59579,5.1,10.5,241900,1239,19.04,5.39
"Barnstable County, Massachusetts",8.5,97.3,89893,3.2,1.1,634700,1604,25.05,2.38
"Berkshire County, Massachusetts",12.3,98.2,77498,4.9,2.5,298200,1074,21.18,2.6
"Bristol County, Massachusetts",13.0,96.8,81148,4.5,2.1,459700,1269,18.37,4.42
"Essex County, Massachusetts",9.4,96.9,96874,4.1,4.0,624700,1726,23.67,4.37
"Franklin County, Massachusetts",12.0,97.7,71296,5.2,0.6,329300,1164,22.9,1.8
"Hampden County, Massachusetts",17.8,96.6,66997,3.9,1.4,302100,1136,16.51,5.86
"Hampshire County, Massachusetts",12.3,98.4,79969,4.1,3.2,380800,1355,18.58,3.22
"Middlesex County, Massachusetts",7.7,98.1,123705,3.4,8.6,716100,2193,28.05,2.59
"Norfolk County, Massachusetts",7.8,98.3,123903,4.1,8.5,686500,2081,31.09,2.28
"Plymouth County, Massachusetts",7.7,97.4,108742,4.4,3.9,568500,1762,24.7,4.2
"Suffolk County, Massachusetts",15.0,96.6,93360,4.2,24.6,683900,2114,27.22,4.0
"Worcester County, Massachusetts",11.0,97.3,94099,4.0,1.6,433900,1449,23.09,3.09
"Allegan County, Michigan",10.1,95.3,78779,2.1,0.3,264800,1098,19.78,1.76
"Bay County, Michigan",12.5,96.3,58675,4.5,0.2,156200,811,13.45,3.5
"Berrien County, Michigan",12.9,92.7,62460,4.3,0.3,237900,936,17.39,2.5
"Calhoun County, Michigan",13.2,94.3,57514,6.4,0.3,163500,906,13.35,2.34
"Clinton County, Michigan",6.7,98.5,92503,1.9,0.2,276500,1040,24.8,1.31
"Eaton County, Michigan",10.5,96.6,71686,3.1,1.4,226200,997,18.6,1.92
"Genesee County, Michigan",18.0,95.3,60027,6.9,1.3,181600,928,14.23,2.35
"Grand Traverse County, Michigan",5.8,96.5,83650,2.9,0.2,343200,1357,23.28,2.12
"Ingham County, Michigan",15.9,96.4,62998,5.9,2.1,190900,1055,19.94,3.05
"Ionia County, Michigan",14.1,96.2,69951,4.3,0.4,221500,816,14.64,2.2
"Jackson County, Michigan",13.6,97.1,63338,4.6,0.1,203700,964,14.9,3.98
"Kalamazoo County, Michigan",12.9,96.0,67191,2.9,0.7,251200,1058,23.09,1.53
"Kent County, Michigan",10.3,95.5,79756,3.4,1.7,297400,1270,26.33,1.62
"Lapeer County, Michigan",9.2,94.5,68556,4.3,0.9,234000,988,13.24,2.39
"Lenawee County, Michigan",9.9,94.9,63952,2.9,0.0,198200,922,14.49,2.74
"Livingston County, Michigan",5.4,97.6,102508,2.0,0.1,347800,1231,24.22,1.14
"Macomb County, Michigan",10.5,95.5,73807,3.7,0.5,246600,1229,17.7,2.08
"Marquette County, Michigan",15.6,96.3,62115,4.3,0.1,227800,842,21.66,1.97
"Midland County, Michigan",13.5,96.9,73074,4.2,0.5,195900,894,20.31,1.88
"Monroe County, Michigan",12.7,96.9,71506,1.9,0.2,245000,983,15.1,1.37
"Montcalm County, Michigan",11.7,93.5,65331,2.5,0.0,200500,924,10.1,2.46
"Muskegon County, Michigan",13.7,95.5,61189,4.8,0.1,208700,1003,13.68,4.83
"Oakland County, Michigan",8.1,96.4,92015,3.8,0.3,338000,1349,28.3,1.65
"Ottawa County, Michigan",9.9,96.5,81513,2.4,0.7,328400,1149,22.81,1.63
"Saginaw County, Michigan",15.5,96.5,59265,6.2,0.1,146400,917,13.02,3.67
"St. Clair County, Michigan",11.6,96.1,68513,5.4,1.2,232300,914,11.91,2.44
"Shiawassee County, Michigan",12.9,95.9,62093,4.4,0.0,182600,951,13.21,2.81
"Van Buren County, Michigan",15.6,92.5,66424,3.7,0.5,213200,758,15.28,2.68
"Washtenaw County, Michigan",15.3,97.1,83754,3.3,4.2,360400,1451,26.26,2.39
"Wayne County, Michigan",20.5,94.6,57281,7.0,1.7,177300,1095,16.11,3.34
"Anoka County, Minnesota",6.2,96.5,96812,3.1,1.0,349400,1294,22.66,3.02
"Blue Earth County, Minnesota",15.6,93.2,66249,3.7,2.4,276300,1055,22.09,2.49
"Carver County, Minnesota",4.8,98.2,129581,1.9,1.0,456700,1583,35.25,1.21
"Clay County, Minnesota",14.4,97.4,70942,3.9,0.8,267600,1111,25.92,3.43
"Crow Wing County, Minnesota",8.5,94.8,76050,4.2,0.0,332400,1034,19.92,4.79
"Dakota County, Minnesota",5.8,95.7,99830,2.7,1.0,383600,1585,29.38,1.83
"Hennepin County, Minnesota",10.1,96.1,93668,3.3,3.5,386600,1445,33.07,3.36
"Olmsted County, Minnesota",7.9,97.8,87856,3.0,3.3,335000,1401,27.77,1.63
"Ramsey County, Minnesota",11.6,95.1,77812,3.3,3.5,319600,1367,26.74,3.65
"Rice County, Minnesota",11.3,95.3,81455,2.0,0.4,302100,1028,13.93,2.35
"St. Louis County, Minnesota",13.3,96.6,67269,3.0,1.8,236700,1004,20.38,3.99
"Scott County, Minnesota",5.7,97.2,106181,2.6,0.4,394700,1434,26.01,1.0
"Sherburne County, Minnesota",4.4,96.2,101214,1.6,0.3,366300,1105,20.85,1.1
"Stearns County, Minnesota",11.2,94.9,74709,3.3,1.0,288500,1129,19.48,2.68
"Washington County, Minnesota",4.8,97.9,110729,2.7,0.6,415100,1668,31.19,1.31
"Wright County, Minnesota",5.2,97.0,104269,1.4,0.4,355200,1272,23.53,1.13
"DeSoto County, Mississippi",9.2,90.9,81486,2.3,0.1,275400,1381,17.16,1.19
"Forrest County, Mississippi",17.3,86.7,52157,3.0,0.0,169400,1006,18.84,3.03
"Harrison County, Mississippi",15.6,88.2,56159,5.1,0.4,213900,1054,16.97,2.05
"Hinds County, Mississippi",20.4,88.6,50904,6.4,0.3,164200,992,17.11,1.66
"Jackson County, Mississippi",12.4,89.4,67472,7.4,0.0,198000,1021,17.38,0.62
"Jones County, Mississippi",19.1,84.2,48503,2.2,0.0,160000,749,13.67,1.35
"Lamar County, Mississippi",14.7,89.9,59716,2.8,0.0,232100,1041,20.46,1.63
"Lauderdale County, Mississippi",25.6,90.2,50542,7.6,0.0,145600,840,11.31,0.82
"Lee County, Mississippi",12.5,91.5,68233,4.2,0.0,196200,877,16.21,1.92
"Madison County, Mississippi",8.4,92.1,78784,3.0,0.0,341500,1288,27.87,0.55
"Rankin County, Mississippi",9.3,93.5,69208,3.6,0.4,240400,1184,18.79,0.24
"Boone County, Missouri",15.5,94.6,69218,3.0,1.3,272400,1100,23.76,0.77
"Buchanan County, Missouri",15.4,91.2,60950,2.6,0.5,166500,889,12.31,1.55
"Cape Girardeau County, Missouri",12.8,92.7,68094,1.9,0.2,223300,895,18.79,0.86
"Cass County, Missouri",6.0,94.3,84774,3.9,0.0,294400,1194,19.81,1.51
"Christian County, Missouri",6.3,94.3,80781,3.8,0.4,310800,1024,20.81,1.12
"Clay County, Missouri",8.2,93.9,84378,2.5,0.0,283200,1245,23.42,1.58
"Cole County, Missouri",7.6,94.9,74415,3.8,0.1,228700,754,23.42,1.26
"Franklin County, Missouri",10.2,92.4,68440,4.1,0.0,229900,895,18.12,0.92
"Greene County, Missouri",14.5,91.8,59499,2.5,0.5,231400,1000,17.27,1.86
"Jackson County, Missouri",11.7,90.4,66055,3.4,1.1,228100,1197,21.61,2.4
"Jasper County, Missouri",16.3,88.5,54109,3.7,0.1,177100,915,16.63,1.5
"Jefferson County, Missouri",9.7,94.7,81843,3.3,0.3,235100,882,16.99,1.8
"Platte County, Missouri",6.2,95.5,93091,2.5,0.8,356500,1287,30.92,2.22
"St. Charles County, Missouri",5.5,96.1,98390,2.2,0.2,325600,1420,25.06,0.56
"St. Francois County, Missouri",14.7,94.0,55042,5.2,0.0,181100,803,10.98,1.3
"St. Louis County, Missouri",9.7,94.7,81441,4.1,1.2,272400,1204,26.81,1.02
"St. Louis city, Missouri",19.6,94.4,56245,4.7,4.9,192800,1011,24.58,1.74
"Cascade County, Montana",11.5,94.2,66454,2.2,0.1,286500,959,18.79,2.36
"Flathead County, Montana",9.7,89.8,74274,2.1,0.1,570800,1275,23.07,0.64
"Gallatin County, Montana",9.6,92.9,91158,2.4,0.7,691200,1790,27.82,0.82
"Lewis and Clark County, Montana",8.7,91.0,77405,2.0,0.1,379500,1078,23.42,1.27
"Missoula County, Montana",11.3,93.4,73429,2.3,1.1,488300,1172,24.94,2.65
"Yellowstone County, Montana",9.4,91.0,68914,3.1,0.6,358700,999,19.74,1.41
"Douglas County, Nebraska",12.0,92.8,77457,2.9,0.5,274700,1178,25.73,1.99
"Lancaster County, Nebraska",11.2,95.1,70637,2.9,1.0,277700,1024,26.3,1.8
"Sarpy County, Nebraska",4.7,96.0,101932,2.0,0.3,322400,1385,24.13,1.27
"Clark County, Nevada",12.7,88.4,75065,4.9,2.4,437900,1654,17.76,3.0
"Washoe County, Nevada",9.7,91.3,84183,3.7,1.0,545100,1627,21.39,1.94
"Belknap County, New Hampshire",8.2,95.4,97692,1.0,0.5,411900,1037,19.49,1.61
"Cheshire County, New Hampshire",8.3,94.8,89314,2.6,0.5,328200,1259,21.11,1.54
"Grafton County, New Hampshire",9.5,95.1,82059,3.4,0.5,354800,1366,21.41,2.13
"Hillsborough County, New Hampshire",5.8,95.0,103727,2.1,0.9,430300,1668,25.46,1.71
"Merrimack County, New Hampshire",7.7,97.1,92110,2.6,0.2,372200,1398,22.24,2.3
"Rockingham County, New Hampshire",5.4,96.0,109770,3.0,0.8,518600,1664,27.02,1.36
"Strafford County, New Hampshire",9.7,95.0,84869,3.3,0.9,379800,1505,22.3,1.34
"Atlantic County, New Jersey",11.7,93.3,77053,6.4,5.5,303800,1307,21.17,1.62
"Bergen County, New Jersey",6.6,94.5,116709,4.1,13.2,615300,1870,32.0,1.64
"Burlington County, New Jersey",6.8,96.4,102532,4.1,1.9,358000,1671,25.64,1.63
"Camden County, New Jersey",12.5,93.9,83763,4.8,4.7,294900,1328,22.02,2.85
"Cape May County, New Jersey",8.2,97.1,84364,4.7,2.0,474800,1440,23.81,1.0
"Cumberland County, New Jersey",17.5,88.1,64908,6.2,1.6,220500,1196,11.89,3.93
"Essex County, New Jersey",14.2,88.8,80463,6.8,18.6,522800,1477,22.21,3.51
"Gloucester County, New Jersey",8.9,96.4,97474,4.1,0.9,317900,1582,22.58,1.6
"Hudson County, New Jersey",15.5,89.8,89272,4.4,36.6,531900,1816,29.92,2.84
"Hunterdon County, New Jersey",4.9,97.5,137275,3.3,1.2,506000,1573,34.83,0.44
"Mercer County, New Jersey",10.8,90.3,96152,5.9,5.8,390900,1466,22.18,1.79
"Middlesex County, New Jersey",8.7,91.9,105055,5.4,6.5,475200,1823,25.28,1.74
"Monmouth County, New Jersey",6.4,95.0,118008,4.1,6.1,628000,1752,30.83,1.39
"Morris County, New Jersey",4.6,96.0,134579,3.8,4.1,577700,1923,33.44,1.55
"Ocean County, New Jersey",10.3,96.0,85464,3.5,0.7,408000,1692,21.48,0.99
"Passaic County, New Jersey",14.1,88.2,82825,4.6,7.1,465700,1551,19.36,2.17
"Salem County, New Jersey",8.8,94.7,87294,4.3,0.8,249500,1318,17.77,3.58
"Somerset County, New Jersey",5.3,95.7,142092,3.8,4.6,556600,1970,30.46,1.11
"Sussex County, New Jersey",4.9,96.8,110785,3.7,1.6,367500,1397,26.08,1.5
"Union County, New Jersey",8.5,87.8,101146,5.4,11.7,522500,1744,21.4,3.17
"Warren County, New Jersey",9.2,95.6,100532,3.9,1.7,350500,1440,25.39,2.16
"Bernalillo County, New Mexico",13.9,91.9,68372,4.4,1.2,303400,1206,19.46,3.73
"Doña Ana County, New Mexico",20.7,89.6,56451,5.6,0.6,228000,933,17.74,3.47
"Lea County, New Mexico",18.0,84.2,55736,2.1,0.0,197200,1173,9.08,2.72
"McKinley County, New Mexico",38.2,81.1,40108,10.9,0.2,71000,768,6.37,1.61
"Otero County, New Mexico",20.8,89.1,50762,5.0,0.1,154200,965,12.6,5.32
"Sandoval County, New Mexico",13.1,94.8,82026,4.5,0.5,324100,1464,19.14,1.63
"San Juan County, New Mexico",21.1,88.3,57324,6.1,0.2,201700,965,11.95,2.67
"Santa Fe County, New Mexico",12.4,89.7,78731,4.7,0.6,485300,1254,20.83,2.28
"Valencia County, New Mexico",18.9,91.5,54665,5.3,0.0,232700,1021,12.57,2.06
"Albany County, New York",13.2,96.9,81335,4.4,4.2,291300,1313,22.92,2.11
"Bronx County, New York",27.9,93.3,46838,9.3,52.5,498200,1352,14.49,10.55
"Broome County, New York",17.2,96.4,63876,4.9,2.7,155100,935,18.13,3.16
"Cattaraugus County, New York",20.6,94.6,54250,5.0,0.2,105500,715,11.56,4.34
"Cayuga County, New York",13.5,95.7,66166,2.9,0.2,161700,925,13.23,4.18
"Chautauqua County, New York",16.9,94.3,55234,6.2,0.3,124600,797,11.92,3.15
"Chemung County, New York",18.1,96.0,59617,5.6,2.4,139600,1013,16.0,3.17
"Clinton County, New York",13.9,97.4,62717,1.8,0.2,173000,948,14.22,2.68
"Dutchess County, New York",7.2,95.9,96824,4.1,3.7,395400,1574,20.22,2.05
"Erie County, New York",14.1,97.0,70492,3.4,2.8,241900,1067,20.68,3.02
"Jefferson County, New York",12.7,93.4,61512,4.6,0.2,184200,1227,13.14,3.31
"Kings County, New York",19.0,95.0,76912,5.8,51.8,880300,1762,25.19,4.86
"Madison County, New York",10.9,94.7,74125,4.1,0.3,180600,869,14.48,2.18
"Monroe County, New York",13.2,97.0,73211,4.3,2.0,217300,1163,22.56,3.69
"Nassau County, New York",5.4,96.1,141568,4.0,14.0,674200,2228,26.12,1.69
"New York County, New York",16.5,96.0,101078,7.0,49.2,1010800,2169,34.07,3.57
"Niagara County, New York",14.4,95.9,65875,4.4,1.0,189700,985,15.21,2.46
"Oneida County, New York",16.1,96.7,61118,4.4,0.1,188300,913,15.49,3.16
"Onondaga County, New York",13.8,97.2,74704,3.7,1.8,202400,1095,21.87,3.29
"Ontario County, New York",7.6,96.5,79450,2.5,0.7,228000,1210,21.25,2.9
"Orange County, New York",13.0,95.0,94364,5.1,3.9,391800,1642,17.66,2.41
"Oswego County, New York",14.9,94.9,70076,5.6,0.7,153500,957,13.63,4.45
"Putnam County, New York",8.8,96.5,122777,2.6,5.4,482300,1833,25.59,0.65
"Queens County, New York",13.7,92.2,81929,5.0,44.6,692500,1877,22.16,4.71
"Rensselaer County, New York",13.1,95.6,84278,4.6,2.0,257600,1242,19.55,2.02
"Richmond County, New York",13.2,96.0,95543,4.6,24.8,672400,1688,22.13,3.91
"Rockland County, New York",16.4,94.6,106589,3.1,7.4,600500,1868,22.26,1.42
"St. Lawrence County, New York",20.4,96.1,56872,3.0,1.3,130200,789,12.83,5.46
"Saratoga County, New York",7.2,97.5,94330,2.4,0.5,348800,1362,24.49,1.49
"Schenectady County, New York",15.0,98.1,74969,4.5,1.9,242700,1240,17.99,2.24
"Steuben County, New York",14.5,96.3,64238,4.0,0.4,137000,838,13.2,2.0
"Suffolk County, New York",6.8,95.4,124045,3.6,6.1,584800,2045,21.32,2.48
"Sullivan County, New York",12.8,95.5,69453,3.7,1.9,273800,1028,15.7,1.95
"Tompkins County, New York",15.9,94.3,67247,4.7,7.9,263100,1383,22.93,2.14
"Ulster County, New York",12.6,92.9,85878,4.7,2.5,373400,1363,21.27,2.24
"Warren County, New York",10.1,96.9,73802,2.5,0.7,265300,1051,21.45,2.03
"Wayne County, New York",11.4,94.5,73065,2.0,0.1,173600,996,15.67,4.34
"Westchester County, New York",9.2,95.2,114457,5.3,18.6,645700,1873,26.81,2.68
"Alamance County, North Carolina",12.1,90.9,65633,4.5,0.1,265200,1033,18.44,3.73
"Brunswick County, North Carolina",10.5,93.5,76221,4.9,1.0,360100,1373,21.83,0.78
"Buncombe County, North Carolina",13.4,89.6,71525,3.1,0.3,426000,1368,27.09,1.26
"Burke County, North Carolina",17.7,88.7,53739,4.0,0.1,212500,786,14.33,0.43
"Cabarrus County, North Carolina",9.4,93.3,85810,4.1,0.5,374400,1484,21.01,1.5
"Caldwell County, North Carolina",12.9,87.5,55766,2.3,0.0,205400,764,11.49,1.37
"Carteret County, North Carolina",9.8,94.0,78256,2.9,0.0,343000,1144,23.52,1.63
"Catawba County, North Carolina",11.9,90.0,64214,2.2,0.1,257100,947,17.38,0.76
"Chatham County, North Carolina",8.1,91.7,97219,3.3,0.3,442800,1100,24.43,0.92
"Cleveland County, North Carolina",17.6,93.7,62186,3.1,0.0,228300,880,17.81,2.17
"Craven County, North Carolina",17.6,91.6,59399,6.5,0.0,229500,1039,15.62,1.64
"Cumberland County, North Carolina",15.1,91.7,61643,6.5,0.3,214600,1228,16.28,2.95
"Davidson County, North Carolina",15.1,91.1,63189,4.0,0.0,232100,836,15.08,2.01
"Durham County, North Carolina",9.8,89.2,81545,3.1,1.8,419200,1587,30.44,0.76
"Forsyth County, North Carolina",15.2,89.7,65062,4.8,0.9,267800,1104,25.11,1.72
"Franklin County, North Carolina",10.1,92.4,70548,2.9,0.6,290600,1065,16.13,0.55
"Gaston County, North Carolina",13.5,89.3,66906,3.1,0.4,284400,1221,18.74,1.57
"Guilford County, North Carolina",15.0,92.0,65413,3.5,1.0,270000,1165,21.01,2.27
"Harnett County, North Carolina",14.1,90.0,70664,5.2,0.0,285300,1095,17.12,1.59
"Henderson County, North Carolina",10.4,87.9,61974,2.5,0.0,372000,1186,22.27,2.39
"Iredell County, North Carolina",9.1,90.7,85298,3.1,0.0,356100,1238,22.74,1.54
"Johnston County, North Carolina",10.9,89.6,79592,4.1,0.0,324500,1307,20.86,1.17
"Lee County, North Carolina",17.3,88.6,60140,3.7,0.0,241200,864,14.84,2.7
"Lincoln County, North Carolina",12.5,91.8,77776,2.0,0.0,350700,1082,20.75,1.87
"Mecklenburg County, North Carolina",10.0,88.6,84593,3.4,1.7,441900,1660,31.29,1.16
"Moore County, North Carolina",10.7,93.7,78057,3.5,0.4,369100,1342,25.52,1.02
"Nash County, North Carolina",12.6,88.3,66121,3.3,0.1,210800,937,14.44,1.01
"New Hanover County, North Carolina",12.0,91.0,79547,3.8,0.3,394100,1466,29.49,1.39
"Onslow County, North Carolina",11.5,92.7,67597,4.6,0.0,253100,1261,12.67,1.82
"Orange County, North Carolina",11.6,92.5,86381,2.8,4.4,470300,1425,25.31,0.59
"Pender County, North Carolina",11.2,91.2,71487,5.4,0.1,315700,1070,20.71,1.96
"Pitt County, North Carolina",20.2,91.0,59946,7.8,0.7,224100,1042,17.61,0.75
"Randolph County, North Carolina",17.3,90.6,56310,5.1,0.0,215200,964,12.92,4.69
"Robeson County, North Carolina",28.1,87.1,40996,4.7,0.2,87100,786,8.84,0.36
"Rockingham County, North Carolina",12.2,91.3,59434,6.3,0.0,174900,790,11.92,3.19
"Rowan County, North Carolina",15.2,92.2,65904,5.1,0.0,273700,974,15.58,0.72
"Rutherford County, North Carolina",13.8,88.6,47557,5.8,0.1,207900,794,12.75,0.29
"Stanly County, North Carolina",9.6,94.5,65456,2.5,0.4,235800,856,15.21,1.58
"Surry County, North Carolina",13.1,90.5,58291,4.3,0.3,181800,697,14.64,4.95
"Union County, North Carolina",8.8,92.9,98215,3.2,0.3,446600,1559,24.71,0.93
"Wake County, North Carolina",7.1,93.3,102918,3.4,0.7,482100,1652,33.59,0.79
"Wayne County, North Carolina",17.5,87.3,55461,8.0,0.5,181800,931,14.02,1.1
"Wilkes County, North Carolina",17.3,89.3,47022,5.3,0.1,182600,655,12.06,0.65
"Wilson County, North Carolina",19.8,88.5,51247,6.4,0.0,212200,1005,12.02,2.59
"Burleigh County, North Dakota",7.5,96.4,85172,2.3,0.0,309500,926,26.67,1.28
"Cass County, North Dakota",9.9,96.3,73742,3.6,0.2,293700,968,26.38,1.02
"Grand Forks County, North Dakota",13.3,97.6,72536,3.2,0.1,257400,949,18.27,1.9
"Ward County, North Dakota",4.1,93.6,72370,1.6,0.6,251800,1010,20.29,1.6
"Allen County, Ohio",13.7,94.5,66891,5.2,0.3,179800,941,11.9,1.25
"Ashtabula County, Ohio",19.3,93.2,57577,4.2,0.5,161600,721,11.15,2.64
"Belmont County, Ohio",15.0,95.0,56361,4.4,0.0,151500,743,13.48,2.65
"Butler County, Ohio",11.9,94.3,80135,3.4,0.5,275100,1139,18.22,1.95
"Clark County, Ohio",15.3,94.2,57910,5.6,0.5,173800,785,10.87,2.41
"Clermont County, Ohio",8.7,94.5,81173,2.5,0.3,279700,1076,19.21,2.4
"Columbiana County, Ohio",16.0,93.3,53455,4.0,0.4,163700,756,10.58,1.92
"Cuyahoga County, Ohio",15.7,94.5,61862,5.8,3.3,197900,1053,20.46,2.19
"Delaware County, Ohio",5.5,96.1,126513,2.5,0.2,460600,1494,32.24,0.46
"Erie County, Ohio",12.6,97.1,61648,3.5,1.4,197000,895,18.49,1.6
"Fairfield County, Ohio",8.0,95.0,84759,2.4,0.3,314800,1146,18.15,1.81
"Franklin County, Ohio",15.0,91.2,71680,3.9,1.8,301000,1287,25.14,1.41
"Geauga County, Ohio",6.2,88.6,99305,3.1,0.2,318800,904,21.55,1.28
"Greene County, Ohio",9.7,94.7,83866,2.7,0.7,265500,1204,20.63,1.1
"Hamilton County, Ohio",13.3,94.5,68519,4.3,2.5,250500,1053,24.2,1.7
"Hancock County, Ohio",11.3,97.1,70736,1.8,0.3,208500,989,19.86,0.31
"Lake County, Ohio",11.1,95.9,72620,3.6,0.6,217600,1085,20.79,1.71
"Licking County, Ohio",9.5,94.5,75976,3.3,0.2,277400,1048,17.45,1.15
"Lorain County, Ohio",10.6,95.6,75461,3.6,0.1,223800,930,16.79,2.17
"Lucas County, Ohio",18.2,94.8,60426,5.8,1.3,168400,934,16.37,3.63
"Mahoning County, Ohio",19.8,94.7,51738,4.3,1.3,154300,813,15.61,2.07
"Marion County, Ohio",16.9,94.8,53995,5.3,0.8,153800,814,6.91,3.71
"Medina County, Ohio",9.1,95.6,89647,2.9,0.2,284800,1128,22.46,1.01
"Miami County, Ohio",10.5,95.5,75366,4.7,0.6,255500,884,16.64,3.37
"Montgomery County, Ohio",15.2,93.6,62450,5.1,0.9,184100,1014,18.0,1.72
"Muskingum County, Ohio",19.5,94.4,56654,4.9,0.0,184900,840,12.78,2.79
"Portage County, Ohio",13.6,96.0,73220,2.8,1.6,229800,1085,18.91,1.11
"Richland County, Ohio",14.0,92.7,56664,6.4,1.1,176800,808,11.82,2.93
"Ross County, Ohio",18.1,93.6,60666,3.8,0.2,177200,865,12.93,0.5
"Scioto County, Ohio",17.2,96.6,52159,6.5,0.1,163400,805,11.68,3.61
"Stark County, Ohio",12.1,94.9,63145,3.1,0.9,188500,891,16.95,2.02
"Summit County, Ohio",12.7,95.0,69577,4.6,0.9,210500,1007,22.91,2.37
"Trumbull County, Ohio",17.6,92.6,51016,3.6,0.5,142900,761,13.33,3.15
"Tuscarawas County, Ohio",15.8,91.3,60604,3.1,0.0,185500,850,11.95,1.92
"Union County, Ohio",5.0,96.8,101968,0.5,1.4,358900,1247,21.41,2.47
"Warren County, Ohio",5.9,95.2,107541,3.1,0.2,364700,1453,27.22,0.77
"Wayne County, Ohio",8.3,87.7,69101,2.3,0.1,218900,886,15.55,1.47
"Wood County, Ohio",9.8,96.4,72947,3.4,0.3,229400,929,19.57,1.03
"Canadian County, Oklahoma",7.8,91.1,86061,2.8,0.0,260400,1329,21.35,1.45
"Cleveland County, Oklahoma",13.3,91.5,74495,3.7,0.3,245700,1149,18.02,1.9
"Comanche County, Oklahoma",20.0,91.2,56706,7.8,0.4,160900,991,14.71,2.43
"Creek County, Oklahoma",16.0,90.3,55857,3.1,0.0,189400,882,12.13,1.81
"Muskogee County, Oklahoma",21.1,88.8,52484,5.9,0.5,157300,800,10.69,7.54
"Oklahoma County, Oklahoma",16.0,87.7,65948,5.2,0.4,242700,1143,22.54,2.8
"Payne County, Oklahoma",23.9,90.4,56371,3.7,0.6,227300,953,21.16,2.11
"Pottawatomie County, Oklahoma",17.3,88.0,56579,2.7,0.0,175000,832,13.05,3.78
"Rogers County, Oklahoma",9.2,90.5,70200,3.4,0.2,247500,1053,17.5,1.25
"Tulsa County, Oklahoma",15.2,87.7,65479,4.9,0.5,238600,1108,21.0,2.23
"Wagoner County, Oklahoma",10.6,90.1,80372,3.9,0.1,240100,1088,16.3,1.58
"Benton County, Oregon",18.4,96.8,73047,5.5,1.4,538100,1368,25.73,2.63
"Clackamas County, Oregon",6.6,95.7,100675,2.6,1.1,605400,1749,24.65,2.71
"Deschutes County, Oregon",8.6,95.3,97163,3.2,0.3,662700,1806,29.34,2.35
"Douglas County, Oregon",16.3,95.2,60889,4.0,1.6,326900,1038,11.37,4.31
"Jackson County, Oregon",12.2,94.0,71666,4.3,0.7,431500,1419,17.3,2.01
"Josephine County, Oregon",13.9,94.1,64170,6.2,0.7,399400,1166,13.0,4.91
"Klamath County, Oregon",20.7,95.8,52547,7.0,0.0,271700,987,11.67,3.51
"Lane County, Oregon",14.7,94.8,70374,5.6,1.7,438200,1373,18.3,3.47
"Linn County, Oregon",15.7,94.6,70548,3.8,0.0,398300,1359,15.53,2.8
"Marion County, Oregon",14.3,90.3,73417,4.6,1.4,429400,1416,17.78,3.01
"Multnomah County, Oregon",12.9,95.3,83583,3.8,5.7,543700,1543,29.79,3.5
"Polk County, Oregon",12.8,95.3,80328,7.2,0.5,466500,1201,17.86,4.18
"Umatilla County, Oregon",18.9,91.2,60582,2.8,0.8,299200,963,12.46,2.86
"Washington County, Oregon",8.0,95.1,103713,3.6,3.0,589000,1818,28.78,3.18
"Yamhill County, Oregon",10.6,94.1,89160,6.1,0.2,471900,1421,20.79,2.88
"Adams County, Pennsylvania",9.9,94.3,76725,3.1,0.3,275300,1061,13.37,2.14
"Allegheny County, Pennsylvania",11.7,96.4,76615,3.9,6.3,232300,1154,26.11,2.26
"Armstrong County, Pennsylvania",11.0,96.3,61836,2.9,0.0,157800,724,13.34,4.0
"Beaver County, Pennsylvania",9.7,96.5,66768,3.0,0.6,191100,840,20.26,3.61
"Berks County, Pennsylvania",12.3,92.4,75675,5.0,1.3,261200,1219,16.09,2.87
