county,poverty_rate,health_insurance,median_household_income,unemployment_rate,public_transit,median_house_value,median_gross_rent,bachelor_holders,public_assistance
"San Luis Obispo County, California",13.5,94.6,90670,4.4,1.0,817600,1922,22.18,2.09
"San Mateo County, California",7.3,95.6,151485,3.7,5.4,1492600,2797,29.18,2.05
"Santa Barbara County, California",15.4,90.7,91197,6.1,2.5,780700,1988,19.55,2.45
"Santa Clara County, California",7.5,95.9,154954,4.2,2.9,1443100,2781,27.98,2.61
"Santa Cruz County, California",13.0,95.4,105631,5.8,3.3,1011300,2055,21.74,2.09
"Shasta County, California",12.6,92.7,75949,4.5,0.4,355100,1351,14.76,3.51
"Solano County, California",10.4,95.7,100027,4.9,1.9,621000,2059,18.16,3.12
"Sonoma County, California",8.9,95.9,100707,4.0,0.8,784900,2061,22.65,2.09
"Stanislaus County, California",12.3,94.8,82758,6.6,0.2,456700,1595,13.04,4.39
"Sutter County, California",17.3,92.9,74727,6.5,0.9,405100,1403,12.45,2.45
"Tehama County, California",13.9,95.1,55128,3.7,0.6,322800,1126,14.82,3.69
"Tulare County, California",17.3,91.4,73097,8.2,0.4,339800,1277,9.6,5.97
"Ventura County, California",9.7,92.8,107667,5.3,0.6,820300,2264,21.75,1.85
"Yolo County, California",16.0,94.5,93203,5.0,1.9,610000,1900,21.31,1.52
"Yuba County, California",15.4,93.2,80396,8.2,0.2,391400,1304,10.59,7.26
"Adams County, Colorado",9.6,91.1,97706,3.1,2.1,494500,1811,18.7,2.17
"Arapahoe County, Colorado",10.7,90.5,98239,4.3,2.3,567300,1933,27.47,2.17
"Boulder County, Colorado",11.4,94.8,95363,4.7,2.7,763600,1915,30.96,1.56
"Broomfield County, Colorado",5.3,97.3,112139,3.1,2.0,660800,2086,32.78,0.59
"Denver County, Colorado",10.0,92.6,94157,3.7,3.8,626500,1843,32.96,2.06
"Douglas County, Colorado",4.1,96.8,143150,3.9,0.9,725500,2219,36.99,1.03
"El Paso County, Colorado",7.0,94.1,89549,4.3,0.3,470900,1708,24.31,1.97
"Jefferson County, Colorado",7.4,95.1,102231,2.9,1.5,645900,1851,31.51,1.15
"Larimer County, Colorado",10.6,94.7,88182,4.5,0.8,574900,1699,27.65,2.52
"Mesa County, Colorado",12.4,91.0,64722,4.4,0.3,373200,1184,20.95,3.91
"Pueblo County, Colorado",12.5,95.9,65161,3.5,0.4,313700,1165,15.15,3.63
"Weld County, Colorado",9.0,92.8,91047,4.0,0.3,475400,1569,20.17,1.88
