poverty_rate,health_insurance,unemployment_rate,bachelor_holders,public_assistance,log_median_income,log_public_transit,sqrt_median_house_value
11.2,97.0,5.7,23.86,1.89,11.385069365929349,0.0,804.4874144447507
9.1,94.0,4.2,26.69,2.35,11.608617390082358,0.6931471805599453,980.5100713404223
6.4,96.6,4.7,27.45,2.18,11.60562314425583,0.33647223662121295,820.9141246196218
11.3,92.1,5.1,15.85,4.43,11.413403427734167,0.4700036292457356,758.946638440411
11.8,95.1,6.3,21.14,4.26,11.410361036614404,0.7884573603642702,730.6846104852626
8.7,93.7,4.4,15.06,1.57,11.583607575555758,0.7884573603642702,872.6969691708572
13.1,91.9,6.2,14.05,5.91,11.351217970875567,0.5306282510621704,717.9832867135558
10.1,94.1,4.7,24.69,2.82,11.549006639541176,1.1314021114911006,930.0
12.0,96.8,4.9,35.23,2.67,11.74981411807611,3.1354942159291497,1161.0340218959993
12.3,94.0,6.6,15.34,4.23,11.378456490095658,0.6931471805599453,729.0404652692469
13.5,94.6,4.4,22.18,2.09,11.414981820640103,0.6931471805599453,904.2123644365852
7.3,95.6,3.7,29.18,2.05,11.928241889128767,1.8562979903656263,1221.7200988769891
15.4,90.7,6.1,19.55,2.45,11.420777280784536,1.252762968495368,883.5722947218297
7.5,95.9,4.2,27.98,2.61,11.95088357766166,1.3609765531356006,1201.2909722461081
13.0,95.4,5.8,21.74,2.09,11.567707167779876,1.4586150226995167,1005.6341282991543
12.6,92.7,4.5,14.76,3.51,11.237817341380294,0.33647223662121295,595.9026766175832
10.4,95.7,4.9,18.16,3.12,11.513195428526789,1.0647107369924282,788.0355321938218
8.9,95.9,4.0,22.65,2.09,11.519970589696866,0.5877866649021191,885.945822271317
12.3,94.8,6.6,13.04,4.39,11.323675965303575,0.18232155679395465,675.7958271549181
17.3,92.9,6.5,12.45,2.45,11.22159675159825,0.6418538861723948,636.4746656387825
13.9,95.1,3.7,14.82,3.69,10.917413033037043,0.4700036292457356,568.1549084536716
17.3,91.4,8.2,9.6,5.97,11.199542605224037,0.33647223662121295,582.9236656715868
9.7,92.8,5.3,21.75,1.85,11.586798409507123,0.4700036292457356,905.7041459549581
16.0,94.5,5.0,21.31,1.52,11.442535188996835,1.0647107369924282,781.0249675906655
15.4,93.2,8.2,10.59,7.26,11.294719702685642,0.18232155679395465,625.6196927846821
9.6,91.1,3.1,18.7,2.17,11.48971824863241,1.1314021114911006,703.2069396699666
10.7,90.5,4.3,27.47,2.17,11.495158564176068,1.1939224684724346,753.1932023060219
11.4,94.8,4.7,30.96,1.56,11.465445941535874,1.308332819650179,873.842090998139
5.3,97.3,3.1,32.78,0.59,11.627494452213256,1.0986122886681098,812.896057316063
10.0,92.6,3.7,32.96,2.06,11.452718880763895,1.5686159179138452,791.5175298121957
4.1,96.8,3.9,36.99,1.03,11.871648310526261,0.6418538861723948,851.7628778010932
7.0,94.1,4.3,24.31,1.97,11.402541240480666,0.262364264467491,686.2215385719105
7.4,95.1,2.9,31.51,1.15,11.53499023756764,0.9162907318741551,803.6790404135223
10.6,94.7,4.5,27.65,2.52,11.387158139534739,0.5877866649021191,758.2216034906945
12.4,91.0,4.4,20.95,3.91,11.077856453603484,0.262364264467491,610.9009739720506
12.5,95.9,3.5,15.15,3.63,11.084616409436771,0.33647223662121295,560.0892785976179
9.0,92.8,4.0,20.17,1.88,11.419131135683767,0.262364264467491,689.4925670375279
9.8,95.2,4.5,21.89,2.96,11.418669729044508,1.3862943611198906,571.5767664977295
10.9,89.9,6.7,23.76,3.08,11.462526507386377,1.916922612182061,664.3794096749236
7.2,96.1,2.9,24.94,1.05,11.505649055999452,0.8754687373538999,620.7253821135398
11.6,95.7,5.3,17.75,3.2,11.30622104760779,0.6931471805599453,571.8391382198319
6.4,98.1,2.2,17.29,1.47,11.394209494265244,0.262364264467491,552.8109984434101
8.4,96.0,4.7,21.91,2.22,11.418834541570632,0.7884573603642702,575.4128952326321
12.6,94.9,4.2,21.69,2.65,11.298902692605338,1.4586150226995167,590.9314681077662
13.5,96.4,4.8,19.17,2.8,11.322394301383495,0.6931471805599453,568.946394662977
8.2,91.0,4.2,29.95,2.62,11.707085008816723,2.302585092994046,811.1103500757465
11.1,93.5,3.4,15.85,3.77,11.196981082800477,0.9555114450274363,570.2630971753301
10.7,93.9,3.1,21.87,2.56,11.37321502126899,1.4586150226995167,597.8294071054049
9.8,92.8,4.4,18.5,2.07,11.265245851311018,0.262364264467491,630.158710167526
14.0,97.3,5.3,27.52,3.03,11.591829062565694,3.173878458937465,845.8723307923011
19.0,92.9,3.8,20.49,1.91,11.026597312804626,1.2237754316221157,554.0758070878028
11.0,86.4,2.9,18.74,1.61,11.180190237025924,0.5306282510621704,572.4508712544684
10.1,90.5,5.1,19.74,1.66,11.271808861665768,0.262364264467491,597.1599450733446
12.7,89.1,4.2,21.43,1.68,11.218970425201533,1.1314021114911006,662.6462102811726
8.7,93.0,3.6,15.75,1.12,11.181723317004527,0.18232155679395465,604.8966853934645
17.2,88.4,6.2,13.86,1.36,10.892601145448044,0.4054651081081644,528.0151512977634
7.4,91.7,3.6,18.77,1.25,11.311518943298806,0.09531017980432487,581.3776741499453
10.9,86.8,2.0,22.45,1.07,11.408364629482966,0.6931471805599453,771.6864648288189
16.8,83.2,7.8,10.33,1.87,11.015542416900727,0.0,479.8958220280731
14.6,89.5,4.3,21.82,2.55,11.14816074398844,0.5306282510621704,566.9215113223346
12.7,87.1,4.6,19.05,1.3,11.184935154891406,0.33647223662121295,535.7238094391549
9.1,91.0,4.1,20.31,0.78,11.179994949045279,0.7419373447293773,632.771680782255
11.8,90.3,5.9,13.42,1.42,11.074544526100407,0.33647223662121295,552.3585791856591
19.9,89.2,6.3,12.33,2.23,10.842810983520856,0.09531017980432487,457.05579528105756
13.3,89.4,3.8,21.93,1.42,11.247487481464612,0.7419373447293773,629.4441992742486
12.0,89.6,2.1,18.5,0.89,11.197118228792599,0.6418538861723948,608.7692502089769
10.8,90.7,4.0,20.08,0.96,11.166625090030035,0.262364264467491,567.1860364994893
12.5,88.3,3.7,18.19,1.36,11.17810985538439,0.4700036292457356,625.8594091327541
18.1,94.0,6.2,24.32,1.03,11.097122100775632,1.1939224684724346,558.3905443325486
10.5,89.9,3.8,22.63,1.08,11.283814141876228,0.6931471805599453,651.1528238439882
15.2,89.1,5.1,13.88,1.59,10.978592359402198,0.18232155679395465,514.87862647424
15.0,87.7,4.9,25.04,1.3,11.219909190927746,0.33647223662121295,662.4198064671677
14.0,87.8,3.8,20.55,3.4,11.188731540419244,1.589235205116581,698.9992846920518
8.5,86.6,1.7,20.29,0.84,11.394929906732521,0.18232155679395465,897.8307190111062
11.2,93.3,3.7,21.29,2.02,11.41499284958557,0.0,641.482657598785
10.4,89.4,3.2,20.01,1.09,11.32688500160752,0.262364264467491,603.1583540000089
12.4,88.9,4.1,24.15,1.53,11.277873792581646,0.8754687373538999,636.9458375717671
10.6,90.9,4.9,20.99,3.34,11.257594409402774,0.5877866649021191,610.9828148156051
10.7,88.1,4.3,24.36,2.13,11.349476691536836,0.9555114450274363,701.0706098532444
10.4,90.9,4.1,18.25,2.95,11.18881451190476,0.18232155679395465,581.1196090307055
11.2,89.2,4.1,23.08,1.65,11.167162200108107,0.9555114450274363,618.3849933496123
12.8,88.0,3.7,16.16,1.94,11.111088766216067,0.4054651081081644,544.3344560102731
21.4,89.6,4.4,11.71,3.29,10.863909995770191,0.33647223662121295,400.24992192379
6.0,95.9,2.8,32.18,0.98,11.563171711394325,0.09531017980432487,731.1634564172365
9.5,88.5,5.0,14.49,1.84,11.105408252735932,0.262364264467491,609.4259594077037
6.7,90.9,4.5,19.68,1.06,11.383522680758052,0.09531017980432487,584.8931526355904
9.6,89.7,4.0,24.13,1.31,11.260674884349712,0.33647223662121295,671.0439627923047
9.0,92.0,4.2,27.23,1.58,11.296596143963688,0.4054651081081644,635.6886030125128
10.8,96.2,7.5,22.64,0.2,11.221436154175494,0.7419373447293773,641.0928169929842
11.8,91.1,3.9,17.21,2.14,11.101537853410294,0.33647223662121295,584.7221562417487
11.5,89.8,4.1,22.64,1.49,11.274680966120778,0.33647223662121295,661.8156843109718
13.7,88.9,2.2,10.9,2.14,11.096106141023359,0.0,548.4523680320835
7.5,83.3,2.9,17.83,1.48,11.296149100034178,0.0,556.2373594069352
22.0,88.9,7.2,13.93,1.39,10.844548942735495,0.262364264467491,446.9899327725402
25.6,89.9,7.0,16.14,1.06,10.896868946774847,0.832909122935104,490.10203019371386
